"Time","iowait","irq","nice","softirq","steal","system","user","Used","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","timestamp"
"2023-04-02 11:26:05","0%","0%","0%","0.200%","0.300%","0.500%","1.70%","339 MiB","453 MB/s","0 kB/s","5.60 kB/s","272 MB/s","0 kB/s","453 MB/s","1680409565000"
"2023-04-02 11:26:10","0%","0%","0%","0.200%","0.300%","0.500%","1.70%","339 MiB","453 MB/s","0 kB/s","5.60 kB/s","272 MB/s","0 kB/s","453 MB/s","1680409570000"
"2023-04-02 11:26:15","0%","0%","0%","1.50%","2.70%","2.30%","2.30%","339 MiB","102 MB/s","0 kB/s","56.5 kB/s","93.3 MB/s","0 kB/s","105 MB/s","1680409575000"
"2023-04-02 11:26:20","0%","0%","0%","1.50%","2.70%","2.30%","2.30%","339 MiB","102 MB/s","0 kB/s","56.5 kB/s","93.3 MB/s","0 kB/s","105 MB/s","1680409580000"
"2023-04-02 11:26:25","0%","0%","0%","0%","0.100%","0.100%","0%","339 MiB","4.55 MB/s","0 kB/s","13.2 kB/s","3.01 MB/s","0 kB/s","4.59 MB/s","1680409585000"
"2023-04-02 11:26:30","0%","0%","0%","0%","0.100%","0.100%","0%","339 MiB","4.55 MB/s","0 kB/s","13.2 kB/s","3.01 MB/s","0 kB/s","4.59 MB/s","1680409590000"
"2023-04-02 11:26:35","0%","0%","0%","0.400%","0.800%","1.000%","1.70%","339 MiB","455 MB/s","0 kB/s","11.2 kB/s","297 MB/s","0 kB/s","456 MB/s","1680409595000"
"2023-04-02 11:26:40","0%","0%","0%","0.400%","0.800%","1.000%","1.70%","339 MiB","455 MB/s","0 kB/s","11.2 kB/s","297 MB/s","0 kB/s","456 MB/s","1680409600000"
"2023-04-02 11:26:45","0%","0%","0%","0.600%","1.10%","0.900%","2.90%","341 MiB","556 MB/s","0 kB/s","11.2 kB/s","340 MB/s","0 kB/s","558 MB/s","1680409605000"
"2023-04-02 11:26:50","0%","0%","0%","0.600%","1.10%","0.900%","2.90%","341 MiB","556 MB/s","0 kB/s","11.2 kB/s","340 MB/s","0 kB/s","558 MB/s","1680409610000"
"2023-04-02 11:26:55","0%","0%","0%","1.40%","1.60%","1.10%","1.10%","341 MiB","59.5 MB/s","0 kB/s","0 kB/s","53.6 MB/s","0 kB/s","61.4 MB/s","1680409615000"
"2023-04-02 11:27:00","0%","0%","0%","1.40%","1.60%","1.10%","1.10%","341 MiB","59.5 MB/s","0 kB/s","0 kB/s","53.6 MB/s","0 kB/s","61.4 MB/s","1680409620000"
"2023-04-02 11:27:05","0%","0%","0%","0.800%","1.20%","1.00%","1.50%","341 MiB","50.8 MB/s","0 kB/s","22.8 kB/s","46.2 MB/s","0 kB/s","52.5 MB/s","1680409625000"
"2023-04-02 11:27:10","0%","0%","0%","0.800%","1.20%","1.00%","1.50%","341 MiB","50.8 MB/s","0 kB/s","22.8 kB/s","46.2 MB/s","0 kB/s","52.5 MB/s","1680409630000"
"2023-04-02 11:27:15","0%","0%","0%","0.200%","0.200%","0.300%","3.10%","341 MiB","998 MB/s","0 kB/s","0 kB/s","611 MB/s","0 kB/s","998 MB/s","1680409635000"
"2023-04-02 11:27:20","0%","0%","0%","0.200%","0.200%","0.300%","3.10%","341 MiB","998 MB/s","0 kB/s","0 kB/s","611 MB/s","0 kB/s","998 MB/s","1680409640000"
"2023-04-02 11:27:25","0%","0%","0%","1.40%","2.20%","1.10%","1.60%","341 MiB","67.2 MB/s","0 kB/s","0 kB/s","61.4 MB/s","0 kB/s","69.4 MB/s","1680409645000"
"2023-04-02 11:27:30","0%","0%","0%","1.40%","2.20%","1.10%","1.60%","341 MiB","67.2 MB/s","0 kB/s","0 kB/s","61.4 MB/s","0 kB/s","69.4 MB/s","1680409650000"
"2023-04-02 11:27:35","0%","0%","0%","1.80%","2.80%","2.70%","4.20%","341 MiB","701 MB/s","0 kB/s","0 kB/s","480 MB/s","0 kB/s","706 MB/s","1680409655000"
"2023-04-02 11:27:40","0%","0%","0%","1.80%","2.80%","2.70%","4.20%","341 MiB","701 MB/s","0 kB/s","0 kB/s","480 MB/s","0 kB/s","706 MB/s","1680409660000"
"2023-04-02 11:27:45","0%","0%","0%","0.600%","0.800%","0.800%","2.10%","339 MiB","492 MB/s","0 kB/s","0 kB/s","307 MB/s","0 kB/s","494 MB/s","1680409665000"
"2023-04-02 11:27:50","0%","0%","0%","0.600%","0.800%","0.800%","2.10%","339 MiB","492 MB/s","0 kB/s","0 kB/s","307 MB/s","0 kB/s","494 MB/s","1680409670000"
"2023-04-02 11:27:55","0%","0%","0%","0.600%","1.00%","0.600%","0.400%","339 MiB","30.0 MB/s","0 kB/s","17.4 kB/s","26.6 MB/s","0 kB/s","30.9 MB/s","1680409675000"
"2023-04-02 11:28:00","0%","0%","0%","0.600%","1.00%","0.600%","0.400%","339 MiB","30.0 MB/s","0 kB/s","17.4 kB/s","26.6 MB/s","0 kB/s","30.9 MB/s","1680409680000"
"2023-04-02 11:28:05","0%","0%","0%","0.400%","0.500%","0.300%","4.80%","339 MiB","1.46 GB/s","0 kB/s","5.80 kB/s","910 MB/s","0 kB/s","1.47 GB/s","1680409685000"
"2023-04-02 11:28:10","0%","0%","0%","0.400%","0.500%","0.300%","4.80%","339 MiB","1.46 GB/s","0 kB/s","5.80 kB/s","910 MB/s","0 kB/s","1.47 GB/s","1680409690000"
"2023-04-02 11:28:15","0%","0%","0%","2.20%","3.40%","2.20%","5.20%","339 MiB","1.05 GB/s","0 kB/s","84.1 kB/s","680 MB/s","0 kB/s","1.05 GB/s","1680409695000"
"2023-04-02 11:28:20","0%","0%","0%","2.20%","3.40%","2.20%","5.20%","339 MiB","1.05 GB/s","0 kB/s","84.1 kB/s","680 MB/s","0 kB/s","1.05 GB/s","1680409700000"
"2023-04-02 11:28:25","0%","0%","0%","1.90%","3.30%","2.30%","3.70%","339 MiB","676 MB/s","0 kB/s","0 kB/s","443 MB/s","0 kB/s","680 MB/s","1680409705000"
"2023-04-02 11:28:30","0%","0%","0%","1.90%","3.30%","2.30%","3.70%","339 MiB","676 MB/s","0 kB/s","0 kB/s","443 MB/s","0 kB/s","680 MB/s","1680409710000"
"2023-04-02 11:28:35","0%","0%","0%","3.60%","3.50%","2.30%","4.60%","339 MiB","709 MB/s","0 kB/s","5.60 kB/s","475 MB/s","0 kB/s","714 MB/s","1680409715000"
"2023-04-02 11:28:40","0%","0%","0%","3.60%","3.50%","2.30%","4.60%","339 MiB","709 MB/s","0 kB/s","5.60 kB/s","475 MB/s","0 kB/s","714 MB/s","1680409720000"
"2023-04-02 11:28:45","0%","0%","0%","0.400%","0.300%","0.600%","4.70%","339 MiB","1.56 GB/s","0 kB/s","0 kB/s","953 MB/s","0 kB/s","1.56 GB/s","1680409725000"
"2023-04-02 11:28:50","0%","0%","0%","0.400%","0.300%","0.600%","4.70%","339 MiB","1.56 GB/s","0 kB/s","0 kB/s","953 MB/s","0 kB/s","1.56 GB/s","1680409730000"
